[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'userCardInfoMapper'.
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'userInfoCheckMapper' and 'com.wanding.dao.UserInfoCheckMapper' mapperInterface
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'userInfoCheckMapper'.
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'userInfoMapper' and 'com.wanding.dao.UserInfoMapper' mapperInterface
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'userInfoMapper'.
[2019-11-14 11:50:43.447] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
[2019-11-14 11:50:43.450] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
[2019-11-14 11:50:43.451] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata'
[2019-11-14 11:50:43.451] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
[2019-11-14 11:50:43.452] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
[2019-11-14 11:50:43.452] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
[2019-11-14 11:50:43.456] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[2019-11-14 11:50:43.456] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[2019-11-14 11:50:43.458] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
